"key","English","Spanish"
"Show Touch Scheme","Show Touch Scheme","Mostrar Controles"
"Joysticks Sensitivity","Joysticks Sensitivity","Sensibilidad Joysticks"
"Left","Left","Izquierda"
"Right","Right","Derecha"
"Joysticks Settings","Joysticks Settings","Ajustes De Joysticks"
"Snap To Finger","Snap To Finger","Ajustar A Pulsacion"
"Hide On Release","Hide On Release","Ocultar Al Soltar"
"Touchpad","Touchpad","Pad Tactil"
"Show Joystick","Show Joystick","Mostrar Joystick"
"Toggle Touch Buttons Visible","Toggle Touch Buttons Visible","Cambiar Visibilidade Controles Tactiles"
"EDIT INPUT CONTROLS","EDIT INPUT CONTROLS","EDITAR CONTROLES TACTILES"
"LOAD/SAVE GAME","LOAD/SAVE GAME","CARGAR/GUARDAR JUEGO"
"Cancel","Cancel","Cancelar"
"Delete","Delete","Borrar"
"GALLERY","GALLERY","GALERIA"
"Expand","Expand","Expandir"
"TUTORIALS MENU","TUTORIALS MENU","MENU TUTORIALES"
"Tutorials ingame enabled","Tutorials ingame enabled","Mostrar Tutoriales Activo"
"GRAPHICS QUALITY","GRAPHICS QUALITY","CALIDAD GRAFICA"
"RESOLUTION","RESOLUTION","RESOLUCION"
"Windowed","Windowed","Ventana"
"EXIT TO MAIN MENU?","EXIT TO MAIN MENU?","¿VOLVER AL MENU PRINCIPAL?"
"EXIT TO DESKTOP?","EXIT TO DESKTOP?","¿SALIR AL ESCRITORIO?"
"YOU ARE DEAD","YOU ARE DEAD","ESTAS MUERTO"
"WHAT DO YOU WANT TO DO?","WHAT DO YOU WANT TO DO?","¿QUE QUIERES HACER?"
"Load Game","Load Game","Cargar Juego"
"Exit To Home","Exit To Home","Salir Al Menu"
"Get Up","Get Up","Levantarse"
"Exit Desktop","Exit Desktop","Salir Del Juego"
"EXIT TO MAIN MENU?","EXIT TO MAIN MENU?","¿SALIR AL MENU?"
"EXIT TO DESKTOP?","EXIT TO DESKTOP?","¿SALIR DEL JUEGO?"
"Weapons","Weapons","Armas"
"Melee","Melee","Espadas"
"Combat","Combat","Combate"
"Powers","Powers","Poderes"
"Magic","Magic","Magia"
"Simple Mode","Simple Mode","Mode Simple"
"MAP","MAP","MAPA"
"MAP INFO","MAP INFO","INFORMACION"
"Show Index","Show Index","Indice"
"Recenter","Recenter","Centrar"
"Place Mark","Place Mark","Colocar Icono"
"Quick Travel","Quick Travel","Viaje Rapido"
"MODE","MODE","MODO"
"Attack","Attack","Atacar"
"Follow","Follow","Seguir"
"Wait","Wait","Esperar"
"Hide","Hide","Ocultar"
"Switch","Switch","Cambiar"
"ORDERS","ORDERS","ORDENES"
"FRIENDS LIST MANAGER","FRIEND LIST MANAGER","LISTA DE AMIGOS"
"State","State","Estado"
"PLAYER CONTROL MODE","PLAYER CONTROL MODE","MODO DE CONTROL"
"Free Floating","Free Floating","Flotar"
"Fly","Fly","Volar"
"Regular","Regular","Normal"
"Sphere","Sphere","Esfera"
"TRAVEL STATION","TRAVEL STATION","VIAJE RAPIDO"
"Travel To Station","Travel To Station","Confirmar Viaje"
"OBJECTIVE LOG","OBJECTIVE LOG","MISIONES"
"Cancel Objective","Cancel Objective","Cancelar Mision"
"Active Objective","Active Objective","Activar Mision"
"EXPERIENCE","EXPERIENCE","EXPERIENCIA"
"STATS","STATS","ESTADISTICAS"
"Main Stats","Main Stats","Principales"
"Weapons Stats","Weapon Stats","Armas"
"Other Stats","Other Stats","Otros"
"CREDITS","CREDITS","CREDITOS"
"UPGRADES SLOTS","UPGRADES SLOTS","PUNTOS HABILIDAD"
"NEXT LEVEL","NEXT LEVEL","PROX NIVEL"
"TOTAL XP","TOTAL XP","PTOS XP"
"ABILITIES EDITOR","ABILITIES EDITOR","EDITOR HABILIDADES"
"SKILLS","SKILLS","HABILIDADES"
"SKILL POINTS REQUIRED","SKILL POINTS REQUIRED","PUNTOS REQUERIDOS"
"Abilities","Abilities","Habilidades"
"Movements","Movements","Movimientos"
"Others","Others","Otros"
"TAKE","TAKE","COGER"
"Saving....","Saving....","Guardando..."
"SHOP","SHOP","TIENDA"
"TYPES","TYPES","TIPOS"
"BUY","BUY","COMPRAR"
"SELL","SELL","VENDER"
"Object Information","Object Information","Informacion Objeto"
"TOTAL AMOUNT","TOTAL AMOUNT","COSTE TOTAL"
"OBJECTS TYPE","OBJECTS TYPE","OBJETOS"
"CREDITS:","CREDITS:","CREDITOS:"
"WARNING:\nTHIS OBJECT IS OUT OF STOCK!","WARNING:\nTHIS OBJECT IS OUT OF STOCK!","ADVERTENCIA:\nESTE OBJETO ESTA FUERA DE STOCK"
"WARNING:\nYOU HAVEN'T ENOUGH MONEY TO BUY THIS OBJECT!","WARNING:\nYOU HAVEN'T ENOUGH MONEY TO BUY THIS OBJECT!","ADVERTENCIA:\nNO TIENES SUFICIENTE DINERO"
"WARNING:\nYOU HAVEN'T ENOUGH LEVEL TO BUY THIS OBJECT!","WARNING:\nYOU HAVEN'T ENOUGH LEVEL TO BUY THIS OBJECT!","ADVERTENCIA:\nNO TIENES SUFICIENTE NIVEL"
"INVENTORY","INVENTORY","INVENTARIO"
"USE","USE","USAR"
"EQUIP","EQUIP","EQUIPAR"
"UNEQUIP","UNEQUIP","QUITAR"
"DROP","DROP","TIRAR"
"COMBINE","COMBINE","UNIR"
"EXAMINE","EXAMINE","MIRAR"
"DISCARD","DISCARD","DESCARTAR"
"DROP ALL","DROP ALL","TIRAR TODO"
"MOVE ALL","MOVE ALL","MOVER TODO"
"INVENTORY BANK","INVENTORY BANK","CAJA FUERTE"
"Level Selection Menu","Level Selection Menu","Menu Seleccion Nivel"
"Continue","Continue","Continuar"
